ORIGIN_AIRPORT,VALUES
MDW,167
MCO,165
RIC,222
OAK,192
HOU,122
JFK,140
MIA,175
FWA,104
SJC,246
DFW,74
LAS,148
FLL,100
ATL,16
IAH,128
DTW,79
ORD,197
EWR,92
SLC,249
LAX,150
PDX,203
SBP,236
PHX,206
SAN,231
SEA,240
ACY,7
DEN,73
AUS,18
LEX,154
VPS,274
DCA,72
HNL,121
SRQ,254
MSP,186
LGA,156
TUL,266
CMH,56
SFO,241
MSY,187
CAK,46
BOS,32
BWI,43
TPA,263
LIH,158
LFT,155
SGF,242
PVD,216
BDL,22
SCE,238
RSW,229
XNA,276
MKE,176
TUS,267
SGU,243
ALB,11
ABQ,2
PSP,215
RDU,221
SNA,251
OGG,193
PIA,207
OKC,194
PBI,202
BFL,24
IAD,127
CLT,55
BNA,30
SMF,250
IND,132
PHF,204
GST,117
JAX,139
ROC,226
BUF,41
BUR,42
CVG,66
BHM,26
CHS,51
LNK,160
SAT,232
FAR,95
MSN,184
STL,255
PHL,205
MHK,173
SDF,239
SJU,248
ROA,225
RNO,224
ASE,15
BOI,31
ELP,86
CAE,45
GPT,111
PWM,217
GSO,115
ICT,129
ISN,134
AVP,20
LBE,152
EVV,90
GJT,109
PNS,211
ISP,135
FNT,101
BRO,37
ACT,5
TOL,262
RAP,218
PIT,209
TRI,264
FAT,96
MCI,164
LCH,153
JNU,143
ONT,196
GEG,106
JAN,138
ELM,85
KOA,144
SAV,233
ANC,14
PIB,208
FSD,102
CLE,53
MLU,180
DAY,70
SIT,245
CRP,63
COS,60
DAL,69
LIT,159
ITO,136
ORF,198
JMS,142
MEM,169
OMA,195
GNV,110
CDV,48
ABE,0
MSO,185
MFE,170
KTN,145
ECP,82
CLL,54
STT,256
RDD,219
CHA,49
JAC,137
GRB,112
MOB,181
FAI,94
MDT,166
COD,59
BGR,25
GRR,114
MKG,177
MYR,190
YUM,277
BIS,28
SJT,247
IDA,130
FCA,98
SBN,235
BIL,27
AGS,10
EUG,89
FSM,103
LBB,151
BET,23
GSP,116
BTV,40
SBA,234
TLH,261
TYS,272
AMA,13
HSV,125
DSM,78
FLG,99
TYR,271
CMI,57
CRW,64
MFR,171
SYR,260
MHT,174
SHV,244
HPN,123
LAR,147
MAF,162
PBG,201
GTF,118
ROW,227
CWA,67
EKO,84
BRW,38
DAB,68
SCC,237
AEX,9
TXK,270
LGB,157
RKS,223
BZN,44
BTR,39
GGG,108
MEI,168
MGM,172
PLN,210
ABI,1
LAN,146
CID,52
CSG,65
GRK,113
TTN,265
ALO,12
DBQ,71
DLH,76
INL,133
SUX,258
ESC,88
ILM,131
SPS,253
MVY,189
RDM,220
LRD,161
HLN,120
ABR,3
BRD,36
MOT,182
RST,228
DRO,77
EWN,91
FAY,97
PSC,212
TWF,269
EYW,93
EAU,81
SAF,230
ABY,4
MRY,183
GFK,107
STX,257
MLI,179
CHO,50
ATW,17
MLB,178
CPR,62
BMI,29
OTH,200
AZO,21
BQK,34
BQN,35
PSG,214
COU,61
MBS,163
HDN,119
CDC,47
PSE,213
TVC,268
GCC,105
MTJ,188
EGE,83
SPI,252
DHN,75
CMX,58
DVL,80
SWF,259
HYS,126
ERI,87
AVL,19
ORH,199
ACV,6
ADQ,8
BPT,33
JLN,141
HRL,124
LAW,149
OAJ,191
VLD,273
WYS,275
