DESTINATION_AIRPORT,VALUES
CMH,54
DCA,69
DFW,71
SEA,236
LAS,144
LAX,146
ORD,195
DEN,70
SAN,227
ATL,16
AUS,18
BOS,30
LFT,151
CHS,48
MSP,183
ABI,1
PHX,204
SFO,237
BWI,41
SJC,242
MCO,162
FLL,96
MDW,164
STL,252
MCI,161
SAT,228
FAR,91
PHL,203
MSY,184
LGB,153
XNA,272
IAH,127
JFK,138
LIH,154
MKE,173
CVG,63
MFE,167
LGA,152
JAX,137
SLC,245
DTW,76
CLT,53
DSM,75
ABQ,2
JAN,136
SNA,248
IAD,126
GJT,105
BDL,20
RNO,220
RDU,217
SGF,238
DAL,66
BNA,28
ELP,82
HNL,119
HOU,121
BOI,29
HRL,123
BUF,39
RSW,225
CLE,51
VPS,270
OAK,189
MIA,172
JNU,140
MOB,178
TUL,263
SBN,231
MSO,182
FNT,97
PWM,214
DAY,67
SAV,229
EWR,88
PDX,201
FAT,92
ICT,128
MHT,171
IND,131
HLN,118
PIA,205
SBP,232
PSP,212
TPA,260
MEM,166
GSO,111
SMF,246
CRP,60
ALB,10
FWA,100
BFL,21
BRO,34
OGG,190
MDT,163
ACY,6
OKC,191
CID,49
RIC,218
SBA,230
PNS,209
TUS,264
TRI,261
ANC,13
SIT,241
JAC,135
RST,224
LEX,150
PVD,213
SJU,244
BHM,23
LRD,157
PIT,207
LIT,155
GNV,106
ROC,222
ISP,133
LBE,148
ONT,194
MSN,181
MLU,177
SDF,235
BUR,40
PSC,210
BGM,22
OMA,192
GRB,108
COS,57
BIL,24
AMA,12
FSD,98
BLI,26
CMI,55
EVV,86
GSP,112
KOA,141
MGM,169
GPT,107
ESC,84
PBI,200
IDA,129
ATW,17
SUN,255
TVC,265
ECP,78
ORH,197
BIS,25
MBS,160
ORF,196
CAK,44
TYS,268
RAP,215
ASE,15
AEX,8
ADQ,7
FCA,94
FAI,90
GRR,110
GTR,114
LBB,147
GCC,101
MLB,175
YUM,273
TLH,258
GEG,103
CWA,64
BQN,33
LSE,158
GGG,104
SYR,257
LAN,143
EUG,85
SAF,226
SHV,240
BTR,37
CLL,52
ELM,81
MFR,168
SCC,233
ITO,134
BRW,35
MVY,186
FAY,93
MLI,176
CHO,47
GRK,109
SGU,239
BZN,42
MYR,187
MKG,174
MAF,159
VLD,269
HPN,122
PIB,206
CHA,46
CRW,61
DRO,74
HSV,124
DLH,73
MRY,180
SMX,247
TOL,259
SRQ,251
BMI,27
COU,58
STX,254
SCE,234
AVL,19
RDM,216
PHF,202
PSE,211
DHN,72
OAJ,188
CPR,59
HIB,117
CAE,43
MOT,179
TTN,262
LCH,149
SJT,243
SPI,249
FLG,95
DBQ,68
FSM,99
STT,253
ROW,223
PLN,208
AGS,9
BQK,32
EYW,89
GUM,115
TWF,266
ILM,130
ABE,0
ACT,4
MHK,170
DAB,65
SUX,256
EGE,79
LNK,156
BTM,36
RKS,219
CSG,62
EKO,80
SPS,250
TYR,267
APN,14
ERI,83
OME,193
MTJ,185
GCK,102
WYS,271
CMX,56
HOB,120
ISN,132
HYS,125
KTN,142
JLN,139
ROA,221
EWN,87
ACV,5
MEI,165
ACK,3
BTV,38
PAH,199
LAW,145
CIU,50
HDN,116
OTZ,198
ALO,11
BPT,31
EAU,77
GST,113
CDC,45
