TAIL_NUMBER,VALUES
N209WN,369
N298JB,548
N4YUAA,1460
N516AS,1514
N567WN,1724
N597UA,1828
N3CUAA,973
N632MQ,2007
N980SW,3541
N851AA,2924
N703SW,2300
N845VA,2908
N522US,1542
N3762Y,831
N910DN,3146
N14972,217
N751SK,2451
N953DN,3425
N693MQ,2261
N110SY,35
N241WN,446
N231JB,426
N365SW,741
N3ECAA,992
N194UW,330
N249WN,462
N975SW,3527
N7733B,2587
N635VA,2026
N400WN,1129
N181UW,306
N310DE,575
N733SA,2404
N566WN,1721
N835DN,2870
N510NK,1496
N717SA,2359
N37420,793
N534NK,1604
N451WN,1263
N663SW,2139
N14188,186
N740SW,2418
N960SW,3469
N997DL,3574
N705TW,2309
N81449,2757
N6703D,2168
N8651A,3006
N760JB,2493
N3ELAA,997
N905DE,3101
N8631A,2984
N396AA,911
N12122,74
N626AE,1977
N866AA,3024
N34222,661
N480HA,1356
N944WN,3377
N899AT,3072
N912DE,3154
N374NW,815
N384DA,869
N499AA,1425
N3LVAA,1113
N814UA,2761
N27421,506
N14162,179
N453WN,1269
N455AA,1275
N533NK,1598
N454AA,1271
N37267,766
N482UA,1365
N908DA,3128
N7726A,2576
N7750A,2608
N3HJAA,1046
N508MQ,1489
N3HXAA,1058
N358NW,711
N358JB,709
N901AW,3080
N11199,52
N776SK,2615
N633SW,2015
N114SY,57
N494WN,1412
N628NK,1989
N838AW,2881
N806SK,2726
N520AS,1530
N846UA,2910
N655AW,2101
N483UA,1369
N13989,164
N943FR,3369
N849UA,2919
N69847,2283
N524MQ,1551
N431WN,1206
N369SW,755
N394AA,904
N510MQ,1495
N814DN,2759
N445UA,1248
N954AT,3430
N564WN,1711
N453UA,1268
N912EV,3157
N906SW,3117
N920WN,3220
N933FR,3306
N207WN,364
N3735D,780
N178US,301
N575UW,1743
N438WN,1228
N831AW,2849
N709JB,2325
N34460,667
N494CA,1410
N709BR,2323
N837VA,2879
N4XXAA,1449
N853NW,2933
N37274,767
N979EV,3537
N911DL,3153
N233LV,430
N913WN,3168
N896SK,3068
N481HA,1361
N872AS,3033
N613SW,1923
N3KCAA,1082
N963SW,3484
N487WN,1386
N728SK,2387
N732SK,2402
N630VA,2000
N87507,3036
N7752B,2612
N982DL,3544
N412WN,1157
N13913,157
N957DL,3450
N659JB,2120
N402UA,1132
N955SW,3440
N8667D,3021
N618JB,1943
N657AW,2109
N432UA,1208
N3BWAA,954
N947FR,3389
N7743B,2599
N193JB,329
N152UW,225
N011AA,7
N701GS,2292
N3MPAA,1128
N793SA,2680
N317AS,590
N12540,102
N493HA,1406
N488UA,1389
N38727,877
N8632A,2985
N188US,322
N535AS,1607
N3MMAA,1127
N617QX,1938
N009AA,6
N363NW,731
N537UW,1619
N124SY,98
N934DL,3310
N607LR,1891
N799AS,2700
N939DN,3345
N937DL,3331
N375DA,825
N711HK,2335
N457SW,1281
